Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
180 N Ada St Unit FL11-ID485 Chicago,IL60607–Fulton Market,1,1,3790,740,5.121621621621622,72,
923 S Carpenter St Unit 1R Chicago,IL60607–University Village,2,1,1695,,0,73,
334 S Wells St Unit 1005 Chicago,IL60606–Chicago Loop,1,1,2174,658,3.303951367781155,100,
213 N Racine Ave 213 N Racine Ave,Chicago,IL60607–Fulton Market,2,2,3375,1116,3.024193548387097,75,
939 W Washington Blvd Unit FL7-ID234 Chicago,IL60607–Fulton Market,Studio,1,3000,486,6.172839506172839,87,
355 N Halsted St 355 N Halsted St,Chicago,IL60661–West Loop,2,2,2114,488,4.331967213114754,85,
The Lofts at Gin Alley 120 N Green St,Chicago,IL60607–Fulton Market,3,2,4041,275,14.694545454545455,85,
730 W Randolph St 730 W Randolph St,Chicago,IL60661–Fulton Market,2,2,2905,853,3.405627198124267,91,
612 S Loomis St 612 S Loomis St,Chicago,IL60607–Little Italy,4,2,3650,975,3.7435897435897436,70,
180 N Ada St Unit FL12-ID724 Chicago,IL60607–Fulton Market,Studio,1,2620,423,6.193853427895981,72,
1011 S Delano Ct E Unit W523 Chicago,IL60605–South Loop,2,2,2983,1000,2.983,100,
1308 W Fillmore St Unit 1 Chicago,IL60607–Little Italy,3,3,3300,2100,1.5714285714285714,68,
701 S Wells St Unit 1405 Chicago,IL60607–South Loop,2,2,2975,1295,2.2972972972972974,100,
732 S Financial Pl Unit 708 Chicago,IL60605–South Loop,2,2,2450,100,24.5,100,
910 W Madison St Unit 405 Chicago,IL60607–Fulton Market,1,1,2300,800,2.875,85,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2100,950,2.210526315789474,71,
The Row Fulton Market 164 N Peoria St,Chicago,IL60607–Fulton Market,4,3.5,2585,,0,85,
1327 W Washington Blvd Unit 2A Chicago,IL60607–Fulton Market,2,2,4999,,0,73,
1037 W Monroe St Unit 2 Chicago,IL60607–West Loop,2,2,4200,,0,81,
800 S Clark St Unit 1 Chicago,IL60605–South Loop,1,1,2649,745,3.5557046979865774,100,
Onni Fulton Market 354 N Union Ave,Chicago,IL60661–West Loop,3,2,2114,488,4.331967213114754,85,
1140 N Wells St Unit Level Suite #2.1341679 Chicago,IL60610–South Loop,Studio,1,10500,560,18.75,97,
700 W Van Buren St Unit 706 Chicago,IL60607–West Loop,2,2,3200,1100,2.909090909090909,94,
400 S Green St Unit 312 Chicago,IL60607–West Loop,1,1,2450,900,2.7222222222222223,86,
Large Bright 1 Bed w/ Parking + In unit WD... 125 S Green St,Chicago,IL60607–Fulton Market,1,1,2500,800,3.125,90,
907 W Madison St Unit 1 Chicago,IL60607–West Loop,1,1,2690,765,3.5163398692810457,87,
939 W Washington Blvd Unit FL9-ID244 Chicago,IL60607–Fulton Market,Studio,1,3010,486,6.193415637860082,87,
1019 W Jackson Blvd Unit 2F Chicago,IL60607–West Loop,1,1,2597,765,3.3947712418300653,82,
331 S Green St 331 S Green St,Chicago,IL60607–Fulton Market,1,1,2323,510,4.5549019607843135,88,
222 S Racine Ave Unit 302 Chicago,IL60607–West Loop,2,2,3199,1300,2.460769230769231,79,
1215 W Fulton Market Unit 32 Chicago,IL60607–Chicago,1,1,2200,815,2.6993865030674846,75,
1140 N Wells St Unit Level Suite #3.1341680 Chicago,IL60610–South Loop,Studio,1,10500,560,18.75,97,
854 S Clark St Unit CLARK-319 Chicago,IL60605–South Loop,Studio,1,1980,522,3.793103448275862,100,
Landmark West Loop 1035 W Van Buren St,Chicago,IL60607–West Loop,3,3,1995,499,3.997995991983968,80,
232 S Green St Unit 1N Chicago,IL60607–West Loop,4,3.5,9500,,0,88,
1050 W Van Buren St Chicago,IL60607–West Loop,1,1,2295,,0,80,
6 S Laflin St Unit 710 Chicago,IL60607–West Loop,2,2,3500,1100,3.1818181818181817,75,
740 W Fulton St Unit 1014 Chicago,IL60661–Fulton Market,2,2,3600,,0,84,
1000 W Washington Blvd 1000 W Washington Blvd,Chicago,IL60607–Fulton Market,3,3,3250,1451,2.2398345968297724,82,
1109 W Washington Blvd Unit 3B Chicago,IL60607–Fulton Market,3,3.5,13900,,0,78,
1140 N Wells St Unit Deluxe Two Bedroom Suite #5.1341696 Chicago,IL60610–South Loop,2,2,16500,1000,16.5,97,
128 S Green St Unit 5C Chicago,IL60607–West Loop,4,3,7200,,0,90,
