,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
29,"1035 W Van Buren St Unit FL21-ID433 Chicago,IL60607–West Loop",1.0,1.0,3240,739.0,4.384303112313938,Single Family,80
31,"1222 W Jackson Blvd Unit 916 Chicago,IL60607–West Loop",1.0,1.0,2763,743.0,3.718707940780619,Single Family,77
32,"180 N Ada St Unit FL14-ID490 Chicago,IL60607–Fulton Market",2.0,2.0,5080,1133.0,4.483671668137688,Single Family,72
33,"1140 N Wells St Unit Level Suite #6.1341683 Chicago,IL60610–South Loop",1.0,1.0,10500,560.0,18.75,Single Family,97
34,"843 W Monroe St Unit 2F Chicago,IL60607–West Loop",2.0,2.0,3400,1250.0,2.72,Single Family,88
35,"6 N Bishop St 6 N Bishop St,Chicago,IL60607–West Loop",2.0,2.0,2711,748.0,3.624331550802139,Single Family,74
36,"701 S Wells St Unit 1405 Chicago,IL60607–South Loop",2.0,2.0,2975,1295.0,2.2972972972972974,Single Family,100
37,"330 S. Wells St 330 S Wells St,Chicago,IL60606–Chicago Loop",1.0,1.0,1782,372.0,4.790322580645161,Single Family,100
38,"1500 W Monroe St 1500 W Monroe St,Chicago,IL60607–West Loop",2.0,2.0,2150,550.0,3.909090909090909,Single Family,75
39,"16 S Aberdeen St Unit 1 Chicago,IL60607–West Loop",3.0,2.5,5000,1500.0,3.333333333333333,Other,79
40,"330 S Wells St Unit FL13-ID210 Chicago,IL60606–Chicago Loop",1.0,1.0,2930,600.0,4.883333333333334,Single Family,100
42,"1035 W Van Buren St Unit FL15-ID397 Chicago,IL60607–West Loop",1.0,1.0,2660,499.0,5.330661322645291,Single Family,85
43,"1222 W Jackson Blvd Unit 315 Chicago,IL60607–West Loop",1.0,1.0,2673,741.0,3.6072874493927127,Single Family,77
44,"1355 W Fillmore St Unit 1 Chicago,IL60607–Little Italy",2.0,2.0,2500,1300.0,1.9230769230769231,Single Family,68
